table	field	definition
taxa	id	
taxa	name	the name and subject or a record (line) in a table
taxa	TaxonRank	http://rs.tdwg.org/dwc/terms/verbatimTaxonRank
taxa	taxonID	http://rs.tdwg.org/dwc/terms/scientificNameID
taxa	parent_taxa	
geog_location	id	
geog_location	name	The name and subject or a record (line) in a table
geog_location	geog_level	A level indicating the geographical scale or a geographic name (e.g. continent; country; province; city)
geog_location	parent_geog	Foreign key to (parent) Geog_Location table
package	id	
package	name	The name and subject or a record (line) in a table
reference	id	
reference	full_reference	Citation that form a bibliography on literature related / used in the dataset
reference	doi	doi of the literature related / used in the dataset
reference	year	The year of the literature related / used in the dataset
eventtype	id	
eventtype	name	The name and subject or a record (line) in a table
projectmetadata	id	
projectmetadata	resource_url	Resource link of this dataset, preferrably points to EML resource page
projectmetadata	project_name	Name of the project within which the sequencing was organized
projectmetadata	start_date	Start date of the project
projectmetadata	end_date	End date of the project
projectmetadata	EML_URL	The url of to the project metadata's EML file on the IPT or GBIF
projectmetadata	abstract	https://eml.ecoinformatics.org/schema/eml-resource_xsd.html#ResourceGroup_abstract
projectmetadata	geomet	https://eml.ecoinformatics.org/schema/eml-coverage_xsd.html#GeographicCoverage_boundingCoordinates
projectmetadata	is_public	Whether a the data of a project is public or embargoed
projectmetadata	associated_media	http://rs.tdwg.org/dwc/terms/associatedReferences
projectmetadata	created_on	The date on which the resource created recommended best practice is to use an encoding scheme; such as ISO 8601:2004(E)
projectmetadata	updated_on	The most recent date on which the resource was changed.
projectmetadata	project_contact	https://eml.ecoinformatics.org/schema/eml-dataset_xsd.html#DatasetType_contact
projectmetadata	project_creator	The user who created this record.
projectmetadata	project_qaqc	Whether or not a dataset has been Quality Controlled
eventhierarchy	id	
eventhierarchy	event_hierarchy_name	The original sample name that can be used to identify the material taken in the field.
eventhierarchy	event_type	Foreign key to EventType table
eventhierarchy	description	A description of the sample as it was taken from the natural environment
eventhierarchy	parent_event_hierarchy	Foreign key to EventHierarchy table
eventhierarchy	event_creator	The user who created this record
eventhierarchy	created_on	The date on which the resource created recommended best practice is to use an encoding scheme; such as ISO 8601:2004(E)
eventhierarchy	updated_on	The most recent date on which the resource was changed
eventhierarchy	project_metadata	
event	id	
event	footprintWKT	http://rs.tdwg.org/dwc/terms/footprintWKT
event	Latitude	http://rs.tdwg.org/dwc/terms/decimalLatitude
event	Longitude	http://rs.tdwg.org/dwc/terms/decimalLongitude
event	eventRemarks	http://rs.tdwg.org/dwc/terms/eventRemarks
event	sample_name	The original sample name that can be used to identify the material taken in the field.
event	collection_year	http://rs.tdwg.org/dwc/terms/year
event	collection_month	http://rs.tdwg.org/dwc/terms/month
event	collection_day	http://rs.tdwg.org/dwc/terms/day
